1
864	1200.0
7
n1	ebig	8
n2	ebig	8
n3	ebig	8
n4	epal	7
n5	ebig	8
n6	epal	7
n7	epal	5
217
p122	n1
p44	n1
p33	n1
p49	n1
p169	n1
p115	n1
p110	n1
p16	n1
p172	n1
p161	n1
p73	n1
p148	n1
p58	n1
p8	n1
p82	n1
p64	n1
p90	n1
p71	n1
p106	n1
p114	n1
p140	n1
p76	n1
p206	n1
p61	n1
p120	n1
p170	n1
p186	n1
p160	n1
p41	n1
p139	n1
p91	n1
p30	n1
p31	n1
p87	n1
p62	n1
p54	n1
p163	n1
p74	n1
p143	n1
p200	n1
p37	n1
p85	n1
p105	n1
p208	n1
p70	n1
p126	n1
p18	n1
p158	n1
p136	n1
p124	n1
p109	n1
p210	n1
p193	n1
p63	n1
p102	n1
p56	n1
p194	n1
p204	n1
p167	n1
p103	n1
p190	n1
p184	n1
p165	n1
p5	n1
p117	n1
p121	n1
p77	n1
p24	n2
p28	n2
p213	n2
p178	n2
p10	n2
p141	n2
p209	n2
p127	n2
p7	n2
p137	n2
p42	n2
p12	n2
p177	n2
p26	n2
p153	n2
p195	n2
p199	n2
p145	n2
p152	n2
p131	n2
p99	n2
p196	n2
p101	n2
p94	n2
p144	n2
p180	n2
p214	n2
p69	n2
p51	n2
p22	n3
p21	n3
p176	n3
p138	n3
p215	n3
p188	n3
p187	n3
p175	n3
p79	n3
p205	n3
p217	n3
p192	n3
p164	n3
p3	n3
p57	n3
p185	n3
p211	n3
p25	n4
p27	n4
p45	n4
p130	n4
p2	n4
p20	n4
p14	n4
p81	n4
p40	n4
p189	n4
p93	n4
p96	n4
p156	n4
p147	n4
p89	n4
p179	n4
p181	n4
p6	n4
p149	n4
p1	n4
p15	n4
p155	n4
p113	n4
p118	n4
p78	n4
p84	n4
p119	n4
p72	n4
p68	n4
p86	n4
p123	n4
p80	n4
p108	n4
p116	n4
p34	n5
p23	n5
p201	n5
p13	n5
p162	n5
p55	n5
p197	n5
p150	n5
p174	n5
p171	n5
p134	n5
p202	n5
p146	n5
p173	n5
p65	n5
p100	n5
p97	n5
p111	n5
p98	n5
p75	n5
p66	n5
p67	n5
p47	n6
p182	n6
p135	n6
p216	n6
p133	n6
p32	n6
p50	n6
p39	n6
p132	n6
p36	n6
p4	n6
p142	n6
p168	n6
p59	n6
p207	n6
p11	n6
p29	n6
p48	n6
p159	n6
p53	n6
p157	n6
p203	n6
p92	n6
p95	n6
p83	n6
p88	n6
p128	n7
p17	n7
p60	n7
p198	n7
p166	n7
p38	n7
p35	n7
p52	n7
p154	n7
p151	n7
p183	n7
p129	n7
p19	n7
p43	n7
p191	n7
p9	n7
p212	n7
p112	n7
p46	n7
p107	n7
p104	n7
p125	n7
