1
576	720.0
6
n1	epal	7
n2	epal	6
n3	epal	7
n4	epal	8
n5	epal	6
n6	epal	3
169
p34	n1
p53	n1
p82	n1
p120	n1
p146	n1
p18	n1
p42	n1
p167	n1
p97	n1
p27	n1
p2	n1
p65	n1
p57	n1
p39	n1
p121	n1
p86	n1
p113	n1
p151	n1
p14	n1
p60	n1
p122	n1
p98	n1
p63	n1
p149	n1
p43	n1
p106	n1
p46	n1
p116	n1
p41	n1
p157	n1
p152	n1
p137	n1
p17	n1
p4	n1
p44	n1
p109	n1
p129	n1
p130	n1
p161	n1
p160	n1
p158	n1
p163	n1
p162	n1
p99	n2
p105	n2
p9	n2
p118	n2
p61	n2
p37	n2
p85	n2
p31	n2
p133	n2
p33	n2
p84	n2
p7	n2
p11	n2
p50	n2
p125	n2
p143	n2
p138	n2
p104	n2
p103	n2
p100	n2
p32	n2
p107	n2
p139	n2
p79	n2
p144	n2
p35	n2
p126	n2
p131	n2
p51	n2
p159	n2
p164	n2
p111	n3
p102	n3
p83	n3
p69	n3
p73	n3
p59	n3
p90	n3
p127	n3
p88	n3
p134	n3
p110	n3
p87	n3
p3	n3
p13	n3
p124	n3
p56	n3
p96	n3
p10	n3
p101	n3
p22	n3
p153	n3
p40	n3
p95	n3
p29	n3
p54	n3
p23	n3
p62	n3
p6	n3
p70	n3
p36	n3
p45	n3
p8	n3
p75	n3
p5	n3
p92	n3
p91	n3
p169	n4
p21	n4
p123	n4
p1	n4
p74	n4
p128	n4
p30	n4
p132	n4
p89	n4
p80	n4
p141	n4
p16	n4
p135	n4
p66	n4
p119	n4
p19	n4
p28	n4
p140	n4
p108	n4
p64	n4
p93	n4
p72	n4
p48	n4
p26	n4
p81	n4
p49	n4
p136	n4
p142	n4
p78	n4
p94	n4
p165	n4
p168	n4
p76	n4
p166	n4
p68	n5
p52	n5
p25	n5
p24	n5
p147	n5
p77	n5
p58	n5
p156	n5
p148	n5
p71	n5
p115	n5
p55	n5
p38	n5
p145	n5
p117	n5
p154	n5
p47	n5
p12	n5
p67	n5
p114	n5
p150	n5
p15	n5
p155	n5
p112	n5
p20	n6
